,STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
20,Maryland,756863,883457,920673,1012770,1065230,1166534,1191856,1251623,1315859,1337325,1409845,1480034.0,1455539.0,1531296.0,1613746.0,1567088.0,1639057.0,1792524.0,1867273.0,1925204.0,2015964.0,2054453.0,2072636.0,2151407.0,2217934.0,2358860.0,2440554.0,2487374.0,2529740.0,2550003.0,2645011.0,2721609.0,2723416.0,2741333.0,2799441.0,2860835.0,2907494.0,2949234.0,3009476.0,3136819.0,3097915.0,3361936.0,3213900.0,3233818.0,3274392.0,3308006.0,3344125.0,3377470.0,3346622.0,3177783.0,3194601.0,3382451.0,3451966.0,3523311.0,3552187.0,3594251.0,3709594.0,3694290.0,3737847.0,3786650.0,3904685.0,3918305.0,3856604.0,4102154.0,4140105.0,4142997.0,4185752.0,4264875.0,4329503.0,4407973.0,3.0
21,Massachusetts  ,1596999,1772912,1749864,1876446,1862232,1969395,2002899,2108890,2118815,2202539,2505988,2609751.0,2435296.0,2518284.0,2448517.0,2549726.0,2635085.0,2738780.0,2790546.0,2850027.0,2900773.0,2987565.0,3060240.0,3141000.0,3209000.0,3567311.0,3554287.0,3643688.0,3652145.0,3726326.0,3700000.0,3640202.0,3593339.0,3641141.0,3678678.0,3831746.0,3792074.0,3922078.0,3944206.0,4249814.0,4257842.0,4229311.0,4205850.0,4170038.0,4161137.0,4471529.0,4211029.0,4355014.0,4393429.0,4394355.0,4421054.0,4489695.0,4610666.0,4686416.0,4645705.0,4645857.0,4612829.0,4711735.0,4699301.0,4674058.0,4629636.0,4592500.0,4683322.969696969,4733936.0,4765586.0,4765586.0,5040662.0,5040662.0,4935176.0,4944666.0,0.0
22,Michigan,2741414,2885869,3002527,3161880,3265395,3145948,3195985,3272496,3885276,3959338,4040423,4077758.0,4113525.0,4159731.0,3977165.0,4025133.0,4306015.0,4417776.0,4513847.0,4572481.0,5009251.0,5127129.0,5213390.0,5311836.0,5436121.0,5532599.0,5949949.0,6049944.0,6150000.0,6250000.0,6350000.0,6400000.0,6450000.0,6390130.0,6344657.0,6200076.0,6254118.0,6332878.0,6378723.0,6388518.0,6422031.0,6440390.0,6433993.0,6480686.0,6527401.0,6601924.0,6658750.0,6716789.0,6751267.0,6802704.0,6863199.0,6925246.0,6976982.0,7025357.0,7065438.0,7103404.0,7105272.0,7112992.0,7058955.0,7118378.0,7082820.0,7083107.0,7059509.0,7018713.0,6986587.0,7046433.0,7104484.0,7074674.0,7095778.0,7153645.0,1.0
23,Minnesota,1759593,1708275,1675010,1654019,1670011,1763500,1797759,1595633,1546510,1708585,1756215,1792984.0,1836252.0,1862861.0,1876073.0,1898554.0,1973439.0,2036199.0,2073939.0,2078425.0,2221474.0,2309739.0,2368059.0,2336027.0,2384410.0,2402550.0,2416869.0,2571540.0,2598123.0,2234646.0,2286218.0,2335935.0,2382897.0,2397077.0,2373908.0,2397204.0,2473073.0,2455826.0,2471180.0,2478925.0,2429251.0,2528941.0,2545936.0,2625071.0,2637458.0,2705701.0,2761121.0,2830232.0,2839291.0,2868002.0,2907027.0,2940789.0,2961236.0,2997058.0,3035553.0,3083007.0,3083757.0,3086610.0,3149109.0,3190183.0,3245441.0,3281463.0,3306139.0,3321760.0,3330725.0,3357468.0,3351430.0,3377910.0,3394815.0,3391057.0,1.0
24,Mississippi,526346,569349,527592,564735,592483,682218,688824,711822,712479,726376,723255,747442.0,779513.0,808930.0,808199.0,853041.0,887201.0,870689.0,971762.0,1009644.0,1319836.0,1236795.0,1308579.0,1382030.0,1379109.0,1378308.0,1456039.0,1505966.0,1572875.0,1588158.0,1582281.0,1587011.0,1699197.0,1734173.0,1802952.0,1786211.0,1810847.0,1744188.0,1775864.0,1813559.0,1841840.0,1884544.0,1924696.0,1628169.0,1640301.0,1671690.0,1693159.0,1700132.0,1722513.0,1758293.0,1788189.0,2007746.0,1859487.0,1861496.0,1885974.0,1896008.0,1965464.0,1929636.0,1926969.0,1935764.0,1930603.0,1928487.0,1926603.0,1957980.0,1968907.0,1977679.0,1988396.0,2018862.0,2053924.0,2058036.0,3.0
25,Missouri,1479341,1770607,1951557,1910818,1980223,1972489,2054641,2084771,1956743,1970530,1987456,2084782.0,2156307.0,2169485.0,2268392.0,2339742.0,2405521.0,2296416.0,2499627.0,2449681.0,2528167.0,2568633.0,2719453.0,2775589.0,2874676.0,2908549.0,2971765.0,3033752.0,3100117.0,3163722.0,3213455.0,3244744.0,3280679.0,3297491.0,3322500.0,3354496.0,3393353.0,3430062.0,3471458.0,3511676.0,3536684.0,3688081.0,3732342.0,3454414.0,3472140.0,3382046.0,3587086.0,3749348.0,3744320.0,3798096.0,3839764.0,3856271.0,3862300.0,3931448.0,3965610.0,4047652.0,4135394.0,4139632.0,4161957.0,4196682.0,4217910.0,4246249.0,4277037.0,4288488.0,4280438.0,4295224.0,4213302.0,4249579.0,4274784.0,4272960.0,1.0
26,Montana,259322,272196,280333,285178,304785,319065,330662,347202,352564,355180,352617,356097.0,367551.0,373192.0,401350.0,380949.0,382123.0,394473.0,391198.0,392308.0,397784.0,409356.0,421468.0,444276.0,462047.0,494640.0,514426.0,535003.0,515643.0,580000.0,583243.0,598982.0,483866.0,491879.0,488603.0,473535.0,582085.0,591222.0,604051.0,534457.0,597638.0,603614.38,580313.0,597037.0,530744.0,525780.0,573749.0,573754.0,662418.0,646512.0,660151.0,678899.0,683351.0,694743.0,704509.0,712880.0,715512.0,723976.0,735753.0,738982.0,737964.0,743611.0,752483.0,757812.0,766716.0,768703.0,781427.0,797145.0,807259.0,806204.0,2.0
27,Nebraska,694684,684780,716281,715627,765461,767474,789552,793173,802253,854885,888018,895933.0,911061.0,921147.0,877385.0,893869.0,895791.0,901656.0,917797.0,886464.0,898232.0,934247.0,1033162.0,1007000.0,1086797.0,1044347.0,1063910.0,1025990.0,1025244.0,1060748.0,1076458.0,1093255.0,1087997.0,1084396.0,1094680.0,1107545.0,1089797.0,1097585.0,1069148.0,1088104.0,1064796.0,1088677.0,1068695.0,1128888.0,1141134.0,1146447.0,1151764.0,1159831.0,1178880.0,1185794.0,1202517.0,1195219.0,1267284.0,1275206.0,1311332.0,1315819.0,1320617.0,1327916.0,1330698.0,1346406.0,1349295.0,1351516.0,1356377.0,1363596.0,1374529.0,1383693.0,1394301.0,1404479.0,1404479.0,1420317.0,1.0
28,Nevada,88176,90433,103439,107348,122674,134022,143393,162932,170920,150181,156320,166535.0,174568.0,178486.0,205885.0,227075.0,266550.0,287094.0,337856.0,327467.0,334833.0,336574.0,353978.0,369595.0,388842.0,398003.0,418704.0,449764.0,478818.0,527118.0,564789.0,625673.0,642155.0,654658.0,676074.0,681256.0,699077.0,707549.0,719058.0,749037.0,794067.0,846410.0,908684.0,957421.0,976214.0,1007191.0,1044609.0,1116795.0,1186097.0,1245905.0,1322014.0,1370643.0,1420714.0,1460903.0,1487899.0,1548097.0,1596353.0,1626021.0,1661588.0,1678550.0,1690431.0,1691318.0,1700829.0,1728060.0,1756095.0,1796443.0,1835511.0,1872376.0,1918305.0,1983453.0,2.0
29,New Hampshire,206398,167980,224243,233835,245739,235457,281277,274992,292089,279786,297698,311780.0,333407.0,343814.0,361547.0,369671.0,386859.0,379075.0,371412.0,390310.0,401968.0,426739.0,441324.0,461124.0,505322.0,525017.0,534094.0,561197.0,584143.0,613402.0,637251.0,652411.0,665085.0,677478.0,697012.0,715708.0,737852.0,762879.0,785591.0,798336.0,809389.0,843470.0,847564.0,850136.0,868560.0,877471.0,901104.0,915451.0,883064.0,907479.0,918563.0,929630.0,941829.0,954910.0,967770.0,985775.0,998214.0,1027582.0,1026546.0,1031158.0,1034329.0,1037083.0,1056889.0,1064604.0,1061433.0,1071963.0,1074766.0,1096234.0,1103624.0,1161665.0,0.0
30,New Jersey,1788578,1890620,1985213,2082495,2190164,2278551,2385533,2461004,2419976,2461654,2573607,2756932.0,2968641.0,3044164.0,3168858.0,3290412.0,3397601.0,3528532.0,3596637.0,3732742.0,3868492.0,4028832.0,4073926.0,4124513.0,4342059.0,4216959.0,4323242.0,4215807.0,4294084.0,4496464.0,4374505.0,4927909.0,5154921.0,5337632.0,5458667.0,5680087.0,5793689.0,5904000.0,6022080.0,5451556.0,5615102.0,5584727.0,5659994.0,5285107.0,5458841.0,5433383.0,5403671.0,5485980.0,5576064.0,5563492.0,5550772.0,5654973.0,5715089.0,5711794.0,5728975.0,5799532.0,5870720.0,5834227.0,5782155.0,5782155.0,5923538.0,5952583.0,5977458.0,6039623.0,6081386.0,6152634.0,6179318.0,6238436.0,6301363.0,6342876.0,0.0
31,New Mexico,258397,290452,322218,344460,372434,371066,397291,410376,444928,462606,498735,497784.0,482876.0,503591.0,529791.0,536575.0,511599.0,534565.0,548684.0,539613.0,553201.0,576568.0,600122.0,637291.0,665839.0,701660.0,735172.0,753585.0,774436.0,803352.0,843401.0,854562.0,914330.0,929770.0,933680.0,949393.0,977880.0,1024085.0,1037634.0,1047261.0,1062806.0,1073816.0,1081437.0,1126193.0,1148230.0,1167462.0,1173442.0,1179256.0,1194284.0,1203869.0,1221927.035,1239043.0,1231701.0,1243894.0,1236488.0,1271365.0,1304721.0,1338246.0,1365249.0,1365249.0,1377983.0,1405926.0,1418641.0,1430475.0,1456500.0,1444857.0,1467782.0,1521785.0,1473262.0,1458433.0,2.0
32,New York  ,4976615,5289991,5571739,5633721,5859431,6061161,6143862,6399684,6127811,6688223,6885480,7062287.0,7089733.0,7266977.0,7664391.0,7436470.0,7402233.0,7609355.0,7903004.0,7983361.0,7991023.0,8055785.0,8277914.0,8450000.0,8545595.0,8730473.0,8832000.0,8935093.0,8970091.0,9125934.0,9186446.0,9240059.0,9248668.0,8992488.0,9605780.0,9715670.0,9841209.0,9947494.0,10029037.0,10143464.0,10177995.0,10254229.0,10266741.0,10359792.0,10326635.0,10376615.0,10473731.0,10483665.0,10529855.0,10554098.0,10626625.0,10871344.0,11014805.0,10913850.0,11356988.0,11246675.0,11071911.0,11146367.0,11369280.0,11284545.0,11329488.0,11285830.0,11210783.0,11248617.0,11210783.0,11318198.0,11689839.0,11947568.0,12185313.0,12194360.0,0.0
33,North Carolina,1243700,1334222,1449316,1504822,1596545,1665280,1720199,1794345,1844605,1885068,1941163,2000284.0,2062764.0,2116205.0,2283576.0,2263905.0,2339864.0,2430184.0,2511867.0,2547927.0,2635267.0,2742707.0,2834862.0,2918709.0,3060227.0,3161146.0,3294096.0,3403213.0,3490420.0,3599341.0,3692110.0,3777067.0,3830684.0,3903103.0,3966351.0,4049269.0,4122866.0,4244176.0,4318723.0,4421934.0,4484107.0,4550644.0,4547443.0,4655434.0,4724661.0,4840104.0,5028421.0,5187288.0,5399301.0,5534284.0,5491228.0,5690494.0,5884651.0,5943288.0,6014782.0,6122137.0,6227817.0,6315667.0,6383542.0,6457000.0,6504269.0,6536601.0,6569341.0,6677693.0,6822902.0,7025333.0,7160621.0,7267042.0,7389467.0,7509231.0,3.0
